"urls","titulos","subtitulos","autores","dias","corpos"
"https://www.cnnbrasil.com.br/economia/investimentos/goldman-sachs-indica-venda-de-estatais-e-compra-de-empresas-privadas-no-brasil/"," Goldman Sachs indica venda de estatais e compra de empresas privadas no Brasil "," Banco de investimento ressalta riscos na governança e cenário com juros em queda "," Gabriel BosaMarien Ramosda CNN   São Paulo "," 25/03/2024 às 19:57 | Atualizado 25/03/2024 às 21:05 ","  seg - sex  Apresentação  Ao vivo A seguir  Banco de investimento ressalta riscos na governança e cenário com juros em queda   Gabriel BosaMarien Ramosda CNN   São Paulo O banco de investimentos Goldman Sachs recomenda a venda de ações de estatais brasileiras e a compra de empresas privadas, que devem ser mais beneficiadas pelo atual ciclo de corte de juros — como já foi visto anteriormente. Em relatório publicado nesta segunda-feira (25), os analistas da instituição norte-americana também destacam os riscos políticos após os recentes movimentos envolvendo a Petrobras. A empresa estatal, que tem a União como acionista majoritário, decidiu recentemente não pagar dividendos extras aos acionistas. Outros eventos, como a tentativa de emplacar Mantega como CEO da Vale e um fundo envolvendo o querosene para as aéreas, também geraram estresses no mercado. “Tais eventos normalmente levaram a um prêmio de risco mais elevado para os ativos brasileiros”, escreveram os analistas Jolene Zhong, Nathan Fabius e Caesar Maasry.  Leia Mais    A análise do Goldman Sachs considera Petrobras, Banco do Brasil, Sabesp e Cemig. De acordo com os analistas, os papéis representam cerca de 21% do MSCI Brasil – índice com pouco menos de 50 empresas do mercado doméstico. Os analistas apontam que as estatais brasileiras performaram melhor que os pares privados desde a pandemia da Covid-19, em 2020, em um cenário de alta dos juros. Agora, a perspectiva oposta — sobretudo com a expectativa de início do corte de juros pelo Federal Reserve (Fed, o BC dos EUA) no segundo trimestre – “representa riscos negativos para o desempenho das empresas públicas”. O banco de investimento reconhece que a Petrobras está forte pela desalavancagem e aumento da lucratividade e fluxo de caixa. Dito isso, os analistas destacam que a despesa de capital (capex) e “potenciais alterações na qualidade da governança” poderão afetar os níveis de endividamentos futuros da companhia. O banco de investimentos ressalta que as empresas estatais brasileiras negociam com uma avaliação historicamente alta em comparação com suas equivalentes privadas. Mas, não por muito tempo, já que elas tendem a negociar positivamente com taxas de juros mais altas — que não é o caso. Nessa medida, o Goldman Sachs recomenda uma operação que tenha como meta um ganho de 28% e um “stop” de -14%, em meio a sinais de intervenção e múltiplos mais altos.  As principais notícias e o melhor do nosso conteúdo, direto no seu email. Escolha a newsletter e inscreva-se!"
"https://www.cnnbrasil.com.br/economia/macroeconomia/fup-pede-mudanca-na-licitacao-de-plataformas-para-viabilizar-participacao-de-estaleiros-locais/"," FUP pede mudança na licitação de plataformas da Petrobras para viabilizar participação de estaleiros locais "," Cada um dos navios-plataformas vai custar cerca de US$ 4 bilhões à estatal e a petroleiras associadas ","  Gabriel Vasconcelos, do Estadão Conteúdo     "," 25/03/2024 às 18:17 | Atualizado 25/03/2024 às 18:18 ","  seg - sex  Apresentação  Ao vivo A seguir  Cada um dos navios-plataformas vai custar cerca de US$ 4 bilhões à estatal e a petroleiras associadas    Gabriel Vasconcelos, do Estadão Conteúdo     Um documento enviado nesta segunda-feira (25) à Presidência da República por entidades ligadas à indústria naval nacional e parlamentares do Rio de Janeiro pede que os navios-plataforma (FPSOs) P-84 e P-85, a serem instaladas pela Petrobras nos campos de Atapu e Sépia, no pré-sal da Bacia de Santos, tenham o formato de licitação alterado para permitir maior participação de estaleiros nacionais. A proposta, que conta com o apoio da Federação Única dos Petroleiros (FUP), pede que a compra dos equipamentos seja fatiada em cinco módulos separados, além do casco da embarcação. Cada um dos FPSOs vai custar cerca de US$ 4 bilhões à Petrobras e petroleiras a ela associadas. “Como está hoje colocada hoje, a licitação por unidade inteira, única e completa, elimina a competição, permitindo, na prática, somente o ingresso de grandes estaleiros estrangeiros, no exterior, dado o alto valor da encomenda”, diz a FUP em comunicado. Essa é a principal de 17 sugestões listadas no manifesto lançado nesta segunda-feira pelo Fórum em Defesa da Indústria Naval e Offshore do Rio de Janeiro, Frente Parlamentar Nacional em Defesa da Indústria Naval e Frente Parlamentar Estadual de Acompanhamento do Polo Gaslub. Todas seguem a linha de fomentar a indústria naval nacional.  Leia Mais  Uma das propostas defende a mudança do modelo de contratação de FPSOs por afretamento para aquisição de unidade própria por meio de contratos EPC (sigla em inglês para Engenharia, Suprimentos e Construção), nos esforços de revitalização de campos na Bacia de Campos, citando sobretudo Albacora, além de Barracuda e Caratinga. Há defesa por contratos múltiplos, com conteúdo local, no mínimo, entre 30% e 60%. Em linhas gerais, a tese é que os contratos de afretamento de navios e plataformas no exterior implicam em despesas elevadas com pagamento de juros e não geram encomendas dentro do País. O documento prevê, também, a criação de um grupo de trabalho para discutir nova fase do Programa de Renovação da Frota de Apoio Marítimo à Exploração e Produção, com contratos de longo prazo para a construção de barcos de apoio no País de acordo com regras de financiamento do Banco Nacional de Desenvolvimento Econômico e Social (BNDES). Outro item da pauta é o pedido de revisão dos critérios de avaliação de Risco de Integridade da Petrobras para empresas de construção offshore e estaleiros, priorizando o “conteúdo local” previsto nos contratos de concessão originais em vez de fazer contratações com empresas estrangeiras. Segundo a FUP, a Petrobras utilizaria “argumentos subjetivos, referentes a riscos de corrupção” para restringir a participação de empresas brasileiras em licitações. “Com a justificativa de que não tem estaleiros com garantia de integridade, a Transpetro só está permitida a contratar reparos em Portugal ou na China”, diz a FUP em comunicado. Completam os pleitos os pedidos de reabertura do Estaleiro Inhaúma, no Rio de Janeiro, e a finalização de dois navios (Irmã Dulce e Zélia Gattai) no estaleiro Eisa, que tiveram obras paralisadas mesmo com 85% de avanço físico.  As principais notícias e o melhor do nosso conteúdo, direto no seu email. Escolha a newsletter e inscreva-se!"
"https://www.cnnbrasil.com.br/economia/macroeconomia/e-hora-e-vez-de-o-brasil-assumir-lideranca-na-transicao-energetica-diz-barroso/"," É hora e vez de o Brasil assumir liderança na transição energética, diz Barroso "," Presidente do STF participou de evento sobre questões ambientais em São Paulo "," Thiago Félixda CNN   São Paulo "," 22/03/2024 às 22:40 ","  seg - sex  Apresentação  Ao vivo A seguir  Presidente do STF participou de evento sobre questões ambientais em São Paulo   Thiago Félixda CNN   São Paulo O presidente do Supremo Tribunal Federal (STF), ministro Luís Roberto Barroso, disse à CNN que, se aprovada a exploração de petróleo e gás natural na Foz do Amazonas, será necessária uma compensação em transição energética. Para ele, o país também deve assumir protagonismo na questão ambiental. A única sugestão que eu faria talvez como cidadão, é uma vinculação legal e obrigatória de que parte dessa receita seja investida na transição energética, tema que o Brasil deve ter um papel de liderança. Esse é o momento, hora e vez do Brasil assumir uma liderança global ambiental  Barroso esteve, nesta sexta-feira (22), no encerramento do seminário “Litígios Globais, Meio Ambiente e Cidadania Internacional”, realizado em São Paulo, na Escola Paulista da Magistratura (EPM). A disputa entre a Petrobras e o Instituto Brasileiro do Meio Ambiente (Ibama), sobre a exploração de petróleo na região amazônica, teve decisão favorável da Advocacia-Geral da União (AGU) no ano passado. O presidente da Petrobras, Jean Paul Prates disse à CNN esperar que as perfurações comecem no segundo semestre de 2024.   Barroso pontua que é um tema político. “Eu acho que essa questão é essencialmente política, uma decisão a ser tomada pelas instâncias próprias, sobretudo do Poder Executivo. Não é meu papel tomar partido nessa discussão e acho que nem do Poder Judiciário essa é uma decisão política”, diz o ministro. Durante discurso no evento, Barroso apontou a importância do judiciário atuar em casos de decisões ambientais. “Proteção ambiental é uma causa da humanidade e não tem ideologia política”. O presidente do STF também reforçou a urgência da luta contra as mudanças climáticas. “Nós estamos atrasados e com pressa. Na verdade é uma situação que já começa a se manifestar em olhos vivos, em situações como a maior seca da história da Amazônia. De acordo com a organização meteorológica mundial, a emissão de gases de efeito estufa tem aumentado ao longo desses últimos anos e os principais emissores são as China, Estados Unidos, Rússia e o Japão”, disse Barroso.  As principais notícias e o melhor do nosso conteúdo, direto no seu email. Escolha a newsletter e inscreva-se!"
"https://www.cnnbrasil.com.br/economia/macroeconomia/petrobras-preve-operacao-de-eolicas-offshore-no-brasil-so-daqui-a-10-anos-diz-gerente/"," Petrobras prevê operação de eólicas offshore no Brasil só daqui a 10 anos, diz gerente "," Projetos-piloto devem ser desenvolvidos nos próximos anos "," Reuters    "," 21/03/2024 às 14:45 ","  seg - sex  Apresentação  Ao vivo A seguir  Projetos-piloto devem ser desenvolvidos nos próximos anos   Reuters    A Petrobras avalia que os primeiros projetos de energia eólica offshore do Brasil só devem iniciar operações daqui a no mínimo 10 anos, disse nesta quinta-feira (21) o gerente executivo de gestão integrada de transição energética da estatal, Cristiano Levone. “Estamos para colocar daqui a 10, 15 anos. Se não fizer nada agora, perdemos tempo”, afirmou o executivo, durante evento da Associação Brasileira de Consultores de Engenharia. Ele disse ainda que os estudos da Petrobras para projetos de eólica offshore seguem a todo vapor, sendo que dois projetos-piloto devem ser desenvolvidos nos próximos anos no litoral do Rio de Janeiro e do Rio Grande do Norte. A companhia anunciou no ano passado sua intenção de desenvolver uma carteira de 30 gigawatts (GW) em eólica offshore no Brasil, como parte de seus compromissos para atuar em negócios de baixo carbono em meio à transição energética.  Leia Mais  Levone acredita que grandes projetos e oportunidades para a tecnologia de geração no mar estarão mais perto da costa, a uma distância de até 50 km do litoral. “Perto da costa temos quase a mesma quantidade de vento do alto mar, porém com lâmina d’água de uns 30 metros o que facilita a ancoragem e os custos se tornam menores. O escoamento da energia será bem mais barato. No alto mar, pode comprometer a rentabilidade do negócio.” O executivo reafirmou ainda os planos da Petrobras de dobrar até 2028 sua capacidade de geração de energia, para 10 GW, por meio do crescimento das fontes solar e eólica em terra. A estatal, de acordo com o executivo, tem conversado com dezenas de empresas que podem gerar oportunidades em projetos novos (“greenfield”) ou empreendimentos já em operação (“brownfield”). “Estamos estudando oportunidades que estão disponíveis no mercado atual, mas ainda estamos longe de fechar uma aquisição”, adicionou.  As principais notícias e o melhor do nosso conteúdo, direto no seu email. Escolha a newsletter e inscreva-se!"
"https://www.cnnbrasil.com.br/economia/negocios/petrobras-pode-retirar-sonda-da-margem-equatorial-por-falta-de-licencas-para-mais-pocos-diz-diretor/"," Petrobras pode retirar sonda da Margem Equatorial por falta de licenças para mais poços, diz diretor "," Empresa está em processo de perfuração do segundo poço no local após encontrar hidrocarbonetos em seu primeiro "," Reuters    "," 20/03/2024 às 16:23 ","  seg - sex  Apresentação  Ao vivo A seguir  Empresa está em processo de perfuração do segundo poço no local após encontrar hidrocarbonetos em seu primeiro   Reuters    A Petrobras poderá em breve retirar uma sonda de perfuração da Bacia Potiguar devido à falta de licenças para mais poços, disse o diretor de Exploração e Produção, Joelson Mendes, nesta quarta-feira (18). A Petrobras perfurou um poço em Potiguar e está em processo de perfuração de um segundo poço, mas carece de licenças ambientais para perfurar mais, disse Mendes, no intervalo da conferência de energia CERAWeek, nos Estados Unidos. Em janeiro, a Petrobras confirmou que havia encontrado hidrocarbonetos em seu primeiro poço na Margem Equatorial, Pitu Oeste, mas disse que sua viabilidade econômica era inconclusiva.  Leia Mais  O potencial do segundo poço ainda precisa ser avaliado, disse Mendes. “Vamos terminar esse poço e talvez levemos a sonda para o Sudeste do país, para Campos e para a Bacia de Santos”, disse ele à Reuters, acrescentando que a sonda é cara e, portanto, não pode ficar ociosa enquanto espera por novas licenças. Potiguar está localizado na chamada Margem Equatorial, uma extensa área ao norte do Brasil que é vista como a fronteira mais promissora da Petrobras para a exploração de petróleo e gás. A Petrobras planeja perfurar 16 poços na Margem Equatorial em cinco anos, disse Mendes, mas o órgão ambiental Ibama, cujos funcionários estão em greve, tem demorado a emitir novas licenças, atrasando os projetos de exploração. O polêmico projeto da Foz do Amazonas, onde a Petrobras tenta obter licença no Ibama após uma negativa no ano passado, também integra a Margem Equatorial.  As principais notícias e o melhor do nosso conteúdo, direto no seu email. Escolha a newsletter e inscreva-se!"
"https://www.cnnbrasil.com.br/economia/negocios/mantega-e-convidado-para-o-conselho-da-braskem-na-vaga-da-petrobras/"," Mantega é convidado para o conselho da Braskem na vaga da Petrobras "," É a terceira tentativa do governo Lula de reabilitar o ex-ministro da Fazenda "," Raquel LandimPedro Venceslauda CNN   São Paulo "," 20/03/2024 às 15:43 ","  seg - sex  Apresentação  Ao vivo A seguir  É a terceira tentativa do governo Lula de reabilitar o ex-ministro da Fazenda   Raquel LandimPedro Venceslauda CNN   São Paulo O ex-ministro Guido Mantega foi convidado para ocupar uma cadeira no conselho de administração da Braskem nas vagas que pertencem à Petrobras, apurou a CNN com fontes no Palácio do Planalto. A ideia é que ele ocupe uma das quatro vagas da estatal no conselho. A Braskem tem outros seis conselheiros indicados pela Novonor, a antiga Odebrecht, e um membro independente. A Petrobras possui 36% do capital da petroquímica. Essa é a terceira tentativa do governo Lula de reabilitar o ex-ministro da Fazenda. Ele fez parte da equipe de transição, mas, diante da repercussão negativa e do impedimento do Tribunal de Contas da União (TCU) em ocupar cargos na administração pública, não assumiu nenhum posto no governo.  Leia Mais  Depois, a pedido de Lula, auxiliares tentaram emplacar Mantega na presidência ou no conselho da mineradora Vale, mas também não deu certo. O movimento foi visto pelo mercado como uma ingerência numa empresa privada. Fontes no governo acreditam que o caso da Braskem é diferente, porque trata-se de uma empresa com participação direta da Petrobras e com uma pendência importante com órgãos públicos por causa do desastre com a mina em Maceió. Nesse episódio, a proximidade de Mantega com o governo e até com o presidente Lula poderia ser útil à Braskem. O caso de Maceió é alvo de uma CPI no Congresso. Fontes envolvidas nos bastidores da CPI dizem que a indicação de Mantega é vista como um sinal de que a comissão não vai se tornar um palco contra a companhia. Procurados, Mantega, Petrobras, Braskem e Novonor não comentaram.  As principais notícias e o melhor do nosso conteúdo, direto no seu email. Escolha a newsletter e inscreva-se!"
"https://www.cnnbrasil.com.br/economia/negocios/petrobras-avalia-oportunidades-de-negocios-em-baixo-carbono-no-brasil-com-mitsui/"," Petrobras avalia oportunidades de negócios em baixo carbono no Brasil com Mitsui "," Assinatura ocorre durante conferência global de energia CERAWeek, nos EUA ","  da Reuters     "," 19/03/2024 às 18:53 | Atualizado 19/03/2024 às 21:10 ","  seg - sex  Apresentação  Ao vivo A seguir  Assinatura ocorre durante conferência global de energia CERAWeek, nos EUA    da Reuters     A Petrobras informou nesta terça-feira (19) que assinou um memorando de entendimentos com a Mitsui & Co. para avaliar oportunidades de negócios em baixo carbono no Brasil. A parceria inclui o estudo de potenciais oportunidades para produção de hidrogênio sustentável e seus derivados, utilização de biometano, e captura, transporte e armazenamento de CO2. A assinatura ocorreu durante conferência global de energia CERAWeek, em Houston, nos Estados Unidos, afirmou a petroleira em comunicado ao mercado.  Leia Mais     As principais notícias e o melhor do nosso conteúdo, direto no seu email. Escolha a newsletter e inscreva-se!"
"https://www.cnnbrasil.com.br/economia/negocios/rafael-dubeux-vai-para-petrobras-para-colaborar-e-nome-dele-foi-bem-recebido-diz-haddad/"," Rafael Dubeux vai para Petrobras para colaborar e nome dele foi bem-recebido, diz Haddad "," Esta foi a primeira vez que o ministro comentou sobre a indicação de Dubeux "," Cristiane Nobertoda CNN   Brasília "," 19/03/2024 às 13:21 | Atualizado 19/03/2024 às 13:22 ","  seg - sex  Apresentação  Ao vivo A seguir  Esta foi a primeira vez que o ministro comentou sobre a indicação de Dubeux   Cristiane Nobertoda CNN   Brasília O ministro da Fazenda, Fernando Haddad, afirmou nesta terça-feira (19) que a ida do secretário-adjunto da pasta, Rafael Dubeux para o Conselho da Petrobras é para “colaborar”. Segundo o chefe da Economia, Dubeux é um perfil técnico e que seu nome foi “bem-recebido” na estatal. “Eu creio que foi muito bem-recebido o nome dele, até porque ele é uma pessoa técnica, que já passou por vários cargos públicos, é de carreira da AGU, está trabalhando nesse tema (transformação energética), é doutor nesta área. Ele vai lá para colaborar, vai lá para ajudar”, afirmou a jornalistas após breve fala no seminário Esfera & MBCB “Os Caminhos para a Mobilidade de Baixo Carbono para o Brasil”. Esta foi a primeira vez que o ministro comentou sobre a indicação de Dubeux. Segundo ele, faltam apenas alguns trâmites protocolares para que ele assuma a cadeira no Conselho. Haddad destacou que a ida do secretário-adjunto é para fortalecer a integração da Fazenda com a petroleira sobre a agenda de transformação energética. Dubeux foi o principal responsável pela elaboração da agenda verde na economia. “A Fazenda, desde o começo do ano passado, tem procurado estar presente nos ministérios ou empresas que tenham um diálogo forte com a transformação ecológica, no sentido de oferecer subsídios e aprender para fazer aquele plano de Transformação Circular”, disse. “Se esses atores não estiverem integrados e coordenados em torno de um plano, o potencial desse plano vai ficar diminuído. Se, ao contrário, nós integrarmos todos esses atores em torno do plano de transformação ecológica, cada rei um investidor vai ser potencializado. Então nosso esforço na Fazenda é potencializar o que os ministérios fariam isoladamente e coordenar as ações”, continuou. Segundo a analista da CNN Raquel Landim, Haddad já estava querendo ter um representante da Fazenda na Petrobras faz algum tempo, também por conta do impacto da estatal para a inflação e para as contas públicas. Quando a Petrobras deixa de pagar dividendos, por exemplo, o principal prejudicado é o Tesouro, já que a União é a maior acionista. O ministro ganhou a cadeira numa tentativa de diminuir o ruído com os investidores após a Petrobras não ter pago os dividendos extraordinários aos acionistas no começo do mês. Em uma reunião com o presidente da Petrobras, Jean Paul Prates, e os ministros Haddad (Fazenda), Rui Costa (Casa Civil) e Alexandre Silveira (Minas e Energia), o presidente Luiz Inácio Lula da Silva (PT) decidiu substituir o conselheiro Sérgio Rezende. O nome viria da equipe econômica e Haddad escolheu Dubeux.  As principais notícias e o melhor do nosso conteúdo, direto no seu email. Escolha a newsletter e inscreva-se!"
"https://www.cnnbrasil.com.br/economia/negocios/falar-em-intervencao-na-petrobras-e-desinformacao-diz-prates/"," Falar em “intervenção na Petrobras” é desinformação, diz Prates "," Presidente da estatal também desta que companhia ""é uma corporação de capital misto controlada pelo Estado Brasileiro, e que este controle é exercido legitimamente pela maioria do seu Conselho de Administração"" "," Gabriel Bosada CNN   São Paulo "," 13/03/2024 às 22:01 | Atualizado 14/03/2024 às 08:48 ","  seg - sex  Apresentação  Ao vivo A seguir  Presidente da estatal também desta que companhia ""é uma corporação de capital misto controlada pelo Estado Brasileiro, e que este controle é exercido legitimamente pela maioria do seu Conselho de Administração""   Gabriel Bosada CNN   São Paulo Jean Paul Prates, presidente da Petrobras, afirmou nesta quarta-feira (13) que as falas sobre intervenção política na estatal são “especulação e desinformação” e visam “criar dissidências”. Em teto publicado na sua conta na rede X, Prates também destacou que a Petrobras “é uma corporação de capital misto controlada pelo Estado Brasileiro, e que este controle é exercido legitimamente pela maioria do seu Conselho de Administração”. “Isso não pode ser apontado como intervenção! É o exercício soberano dos representantes do controle da empresa”, continuou. O mercado ficou nervoso esperando dividendos sobre cuja decisão foi meramente de adiamento e reserva.  Falar em “intervenção na Petrobrás” é querer criar dissidências, especulação e desinformação.  É preciso de uma vez por todas compreender que a Petrobrás é uma corporação de… — Jean Paul Prates (@jeanpaulprates) March 13, 2024  A fala do presidente ocorre em meio indicações de analistas de que a companhia sofre ingerência política do governo federal. A crise foi deflagrada na quinta-feira (7), após a Petrobras anunciar que não pagará dividendos extraordinários neste ano. Segundo nota enviada ao mercado, a estatal afirmou que o conselho de administração autorizou o encaminhamento à Assembleia Geral Ordinária (AGO) para o pagamento R$ 14,2 bilhões referentes ao quarto trimestre. Se aprovado, a companhia pagará R$ 72,4 bilhões em dividendos no exercício de 2023. A decisão repercutiu mal entre os investidores, refletindo na forte queda das ações. Entre sexta e o fechamento desta quarta, os papéis acumulam retração de quase 10%. Segundo a companhia, os dividendos serão reservados para garantir pagamento aos acionistas em anos de maior investimento. A direção da estatal negou que o valor seria usado para investimentos ou o pagamento de dívidas. A decisão foi novamente citada por Prates, que afirmou que “o mercado ficou nervoso esperando dividendos sobre cuja decisão foi meramente de adiamento e reserva”.  Leia Mais  No texto publicado nesta quarta, Prates também rebateu as críticas afirmando que é legítimo que o conselho de administração “se posicione orientado pelo Presidente da República e pelos seus auxiliares diretos que são os ministros” e que essa diretriz foi aplicada na decisão sobre o não pagamento dos dividendos extraordinários. “Somente quem não compreende (ou propositalmente não quer compreender) a natureza, os objetivos e o funcionamento de uma companhia aberta de capital misto com controle estatal pode pretender ver nisso uma intervenção indevida”, pontuou. “Vamos voltar à razão e trabalhar para executar, eficaz e eficientemente, o Plano de Investimentos de meio trilhão de reais que temos pelos próximos cinco anos à frente, gerar empregos, renda, pesquisa, impostos e também lucro e dividendos compatíveis com os nossos resultados e ambições”.  As principais notícias e o melhor do nosso conteúdo, direto no seu email. Escolha a newsletter e inscreva-se!"
"https://www.cnnbrasil.com.br/politica/conselheiro-da-fazenda-equilibra-forcas-na-petrobras-e-pode-apaziguar-animos-dizem-fontes/"," Conselheiro da Fazenda equilibra forças na Petrobras e pode apaziguar ânimos, dizem fontes "," Novo conselho de administração será eleito no dia 25 de abril "," Raquel LandimClarissa Oliveirada CNN   São Paulo "," 13/03/2024 às 15:43 ","  seg - sex  Apresentação  Ao vivo A seguir  Novo conselho de administração será eleito no dia 25 de abril   Raquel LandimClarissa Oliveirada CNN   São Paulo Escolhido como indicado do Ministério da Fazenda para ocupar um assento no Conselho de Administração da Petrobras, Rafael Dubeux é visto nos bastidores como uma peça-chave para apaziguar os conflitos que se instalaram no comando da companhia e poderia equilibrar um pouco a influência do ministro de Minas e Energia, Alexandre Silveira. Dos 11 conselheiros da Petrobras, 6 costumam ser indicados pelo governo, 4 pelos minoritários, e 1 pelos funcionários. Na gestão que termina no próximo dia 25 de abril, Silveira tem forte influência sobre 3 conselheiros do governo, incluindo o presidente do colegiado Pietro Mendes. Já entre os outros três membros do governo, um é ligado ao ministro da Casa Civil, Rui Costa, que costuma se aliar com Silveira. Com essa configuração, o titular de Minas e Energia tem o respaldo de 4 dos 11 membros.  Leia Mais  O presidente da estatal, Jean Paul Prates, também faz parte do conselho, mas com uma influência muito menor. Além dele, conta com o respaldo da representante dos funcionários, indicada pela Federação Única dos Petroleiros (FUP) e de um conselheiro muito ligado ao presidente Lula. Portanto, 3 votos. O novo conselho de administração vai ser eleito no dia 25 de abril. A chegada do representante da Fazenda não mudaria totalmente e o jogo, mas pode reequilibra-lo. Fontes ouvidas pela CNN não dão como certo o alinhamento da Fazenda nem como um lado, nem com o outro, mas uma atuação mais ponderada. “O objetivo é ajudar o presidente Lula”, diz uma fonte à CNN. A nomeação atende a um pleito antigo da Fazenda de ter um assento no conselho. Dubeux chega num momento em que o governo busca uma solução sobre o pagamento de dividendos extraordinários a acionistas, defendido por Prates. Conforme fontes ouvidas pela CNN, é possível que o pagamento seja aprovado na assembleia do dia 25. “Muito dessa briga tem a ver com divergências sobre onde a empresa vai gastar. Tem que investir em transição energética, todo mundo sabe disso. Mas o fato é que este é um investimento que não vai dar retorno agora”, disse um executivo da empresa à CNN sob reserva.  As principais notícias e o melhor do nosso conteúdo, direto no seu email. Escolha a newsletter e inscreva-se!"
