Data;Hora UTC;TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
01/01/2024;0000 UTC;26,8;26,2
01/01/2024;0100 UTC;26,3;25,1
01/01/2024;0200 UTC;25,6;24
01/01/2024;0300 UTC;24;23,4
01/01/2024;0400 UTC;23,9;23,4
01/01/2024;0500 UTC;23,9;23,4
01/01/2024;0600 UTC;23,7;23,1
01/01/2024;0700 UTC;23,5;23
01/01/2024;0800 UTC;23,2;23
01/01/2024;0900 UTC;23;22,9
01/01/2024;1000 UTC;23,6;22,8
01/01/2024;1100 UTC;26;23,6
01/01/2024;1200 UTC;27,3;25,8
01/01/2024;1300 UTC;28,8;27,3
01/01/2024;1400 UTC;30,8;28,7
01/01/2024;1500 UTC;31,7;30,1
01/01/2024;1600 UTC;32,7;30,9
01/01/2024;1700 UTC;32,9;31,5
01/01/2024;1800 UTC;33,4;31,6
01/01/2024;1900 UTC;33,9;31,9
01/01/2024;2000 UTC;33,3;31,6
01/01/2024;2100 UTC;31,7;29,1
01/01/2024;2200 UTC;29,1;28,1
01/01/2024;2300 UTC;28,6;26,9
02/01/2024;0000 UTC;27,2;26,2
02/01/2024;0100 UTC;26,5;26,2
02/01/2024;0200 UTC;26,4;26
02/01/2024;0300 UTC;26,4;25,7
02/01/2024;0400 UTC;26;24,8
02/01/2024;0500 UTC;25,1;24,7
02/01/2024;0600 UTC;25;24,2
02/01/2024;0700 UTC;24,2;23,5
02/01/2024;0800 UTC;23,5;23,2
02/01/2024;0900 UTC;23,3;22,9
02/01/2024;1000 UTC;23,1;22,9
02/01/2024;1100 UTC;23,2;22,9
02/01/2024;1200 UTC;23,5;23,1
02/01/2024;1300 UTC;23,4;23,2
02/01/2024;1400 UTC;23,6;23,2
02/01/2024;1500 UTC;23,6;23,4
02/01/2024;1600 UTC;24;23,5
02/01/2024;1700 UTC;24,4;23,9
02/01/2024;1800 UTC;24,7;24,2
02/01/2024;1900 UTC;25,3;24,7
02/01/2024;2000 UTC;25,5;25,2
02/01/2024;2100 UTC;25,3;24,7
02/01/2024;2200 UTC;24,8;23,8
02/01/2024;2300 UTC;23,8;23,2
03/01/2024;0000 UTC;23,6;23
03/01/2024;0100 UTC;23,5;22,9
03/01/2024;0200 UTC;23,5;22,9
03/01/2024;0300 UTC;23,3;22,9
03/01/2024;0400 UTC;23,3;23
03/01/2024;0500 UTC;23,3;22,8
03/01/2024;0600 UTC;23,2;23,1
03/01/2024;0700 UTC;23,2;23,1
03/01/2024;0800 UTC;23,3;23,1
03/01/2024;0900 UTC;23,3;22,9
03/01/2024;1000 UTC;23,5;22,9
03/01/2024;1100 UTC;24,4;23,4
03/01/2024;1200 UTC;26,3;24,3
03/01/2024;1300 UTC;28,3;26
03/01/2024;1400 UTC;29,7;28,2
03/01/2024;1500 UTC;30,4;28,8
03/01/2024;1600 UTC;31,3;30
03/01/2024;1700 UTC;32;30,6
03/01/2024;1800 UTC;32,4;30,8
03/01/2024;1900 UTC;32,1;27,7
03/01/2024;2000 UTC;29,2;27,7
03/01/2024;2100 UTC;29,6;28,8
03/01/2024;2200 UTC;29,2;28,3
03/01/2024;2300 UTC;28,4;27,2
04/01/2024;0000 UTC;27,9;26,9
04/01/2024;0100 UTC;27,7;26,5
04/01/2024;0200 UTC;26,9;25,9
04/01/2024;0300 UTC;26,8;26
04/01/2024;0400 UTC;26,9;26
04/01/2024;0500 UTC;26,5;25,4
