Timestamp,BoomCylinder_LD,BoomCylinder_LE,BucketCylinder_LD,BucketCylinder_LE,FinalDrive_LD,FinalDrive_LE,PumpDrive_1,PumpDrive_2,ShellCylinder_LD,ShellCylinder_LE,StickCylinder_LD,StickCylinder_LE,SwingDrive_LD,SwingDrive_LE,SwingGear_1,SwingGear_2
11-Apr-2022 12:19:10,28.8,28.8,,,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8
11-Apr-2022 12:19:51,,,27.7,27.7,,,,,,,,,,,,
11-Apr-2022 12:22:10,28.6,28.6,,,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6
11-Apr-2022 12:22:51,,,27.6,27.6,,,,,,,,,,,,
11-Apr-2022 12:25:10,28.5,28.5,,,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5
11-Apr-2022 12:25:51,,,27.6,27.6,,,,,,,,,,,,
11-Apr-2022 12:28:10,28.4,28.4,,,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4
11-Apr-2022 12:28:51,,,27.4,27.4,,,,,,,,,,,,
11-Apr-2022 12:31:10,28.3,28.3,,,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3
11-Apr-2022 12:31:51,,,27.4,27.4,,,,,,,,,,,,
11-Apr-2022 12:34:10,28.3,28.3,,,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3
11-Apr-2022 12:34:51,,,27.4,27.4,,,,,,,,,,,,
11-Apr-2022 12:37:10,28.2,28.2,,,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2
11-Apr-2022 12:37:51,,,27.3,27.3,,,,,,,,,,,,
11-Apr-2022 12:40:10,28.2,28.2,,,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2
11-Apr-2022 12:40:51,,,27.3,27.3,,,,,,,,,,,,
11-Apr-2022 12:43:10,28.1,28.1,,,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1
11-Apr-2022 12:43:51,,,27.3,27.3,,,,,,,,,,,,
11-Apr-2022 12:46:10,28.1,28.1,,,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1
11-Apr-2022 12:46:51,,,27.3,27.3,,,,,,,,,,,,
11-Apr-2022 12:49:10,28.1,28.1,,,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1
