NmeComp,Timestamp,Value,Hour,Day
BoomCylinder_LD,2022-04-11 12:00:00,28.25,12,2022-04-11
BoomCylinder_LD,2022-04-11 13:00:00,27.59047619047619,13,2022-04-11
BoomCylinder_LD,2022-04-11 14:00:00,27.464999999999996,14,2022-04-11
BoomCylinder_LD,2022-04-11 15:00:00,26.955000000000002,15,2022-04-11
BoomCylinder_LD,2022-04-11 16:00:00,26.475,16,2022-04-11
BoomCylinder_LD,2022-04-11 17:00:00,25.639999999999997,17,2022-04-11
BoomCylinder_LD,2022-04-11 18:00:00,25.73,18,2022-04-11
BoomCylinder_LD,2022-04-11 19:00:00,26.339999999999996,19,2022-04-11
BoomCylinder_LD,2022-04-11 20:00:00,25.735000000000003,20,2022-04-11
BoomCylinder_LD,2022-04-11 21:00:00,25.255000000000003,21,2022-04-11
BoomCylinder_LD,2022-04-11 22:00:00,24.965,22,2022-04-11
BoomCylinder_LD,2022-04-11 23:00:00,24.75,23,2022-04-11
BoomCylinder_LD,2022-04-12 00:00:00,25.175,0,2022-04-12
BoomCylinder_LD,2022-04-12 01:00:00,24.57,1,2022-04-12
BoomCylinder_LD,2022-04-12 02:00:00,30.384999999999998,2,2022-04-12
BoomCylinder_LD,2022-04-12 03:00:00,29.93,3,2022-04-12
BoomCylinder_LD,2022-04-12 04:00:00,41.945,4,2022-04-12
BoomCylinder_LD,2022-04-12 05:00:00,33.565,5,2022-04-12
BoomCylinder_LD,2022-04-12 06:00:00,26.35,6,2022-04-12
BoomCylinder_LD,2022-04-12 07:00:00,24.54,7,2022-04-12
BoomCylinder_LD,2022-04-12 08:00:00,24.475,8,2022-04-12
BoomCylinder_LD,2022-04-12 09:00:00,25.09,9,2022-04-12
BoomCylinder_LD,2022-04-12 10:00:00,25.545,10,2022-04-12
BoomCylinder_LD,2022-04-12 11:00:00,41.81,11,2022-04-12
BoomCylinder_LD,2022-04-12 12:00:00,32.6,12,2022-04-12
BoomCylinder_LD,2022-04-12 13:00:00,29.235000000000003,13,2022-04-12
BoomCylinder_LD,2022-04-12 14:00:00,33.035000000000004,14,2022-04-12
BoomCylinder_LD,2022-04-12 15:00:00,51.44,15,2022-04-12
BoomCylinder_LD,2022-04-12 16:00:00,36.69,16,2022-04-12
BoomCylinder_LD,2022-04-12 17:00:00,32.475,17,2022-04-12
BoomCylinder_LD,2022-04-12 18:00:00,30.25,18,2022-04-12
BoomCylinder_LD,2022-04-12 19:00:00,28.835,19,2022-04-12
BoomCylinder_LD,2022-04-12 20:00:00,27.72,20,2022-04-12
BoomCylinder_LD,2022-04-12 21:00:00,26.705000000000002,21,2022-04-12
BoomCylinder_LD,2022-04-12 22:00:00,25.835,22,2022-04-12
BoomCylinder_LD,2022-04-12 23:00:00,25.23,23,2022-04-12
BoomCylinder_LD,2022-04-13 00:00:00,24.915,0,2022-04-13
BoomCylinder_LD,2022-04-13 01:00:00,24.634999999999998,1,2022-04-13
BoomCylinder_LD,2022-04-13 02:00:00,24.4,2,2022-04-13
BoomCylinder_LD,2022-04-13 03:00:00,52.75,3,2022-04-13
BoomCylinder_LD,2022-04-13 04:00:00,57.489999999999995,4,2022-04-13
BoomCylinder_LD,2022-04-13 05:00:00,59.15,5,2022-04-13
BoomCylinder_LD,2022-04-13 06:00:00,60.085,6,2022-04-13
BoomCylinder_LD,2022-04-13 07:00:00,49.21,7,2022-04-13
BoomCylinder_LD,2022-04-13 08:00:00,34.015,8,2022-04-13
BoomCylinder_LD,2022-04-13 09:00:00,29.544999999999998,9,2022-04-13
BoomCylinder_LD,2022-04-13 10:00:00,28.214999999999996,10,2022-04-13
BoomCylinder_LD,2022-04-13 11:00:00,28.29,11,2022-04-13
BoomCylinder_LD,2022-04-13 12:00:00,28.169999999999998,12,2022-04-13
BoomCylinder_LD,2022-04-13 13:00:00,28.160000000000004,13,2022-04-13
BoomCylinder_LD,2022-04-13 14:00:00,27.110000000000003,14,2022-04-13
BoomCylinder_LD,2022-04-13 15:00:00,27.655,15,2022-04-13
