Parametro,Value,NmeComp
Temperature,28.8,MainPumpP1
Temperature,28.6,MainPumpP1
Temperature,28.5,MainPumpP1
Temperature,28.4,MainPumpP1
Temperature,28.3,MainPumpP1
Temperature,28.3,MainPumpP1
Temperature,28.2,MainPumpP1
Temperature,28.2,MainPumpP1
Temperature,28.1,MainPumpP1
Temperature,28.1,MainPumpP1
Temperature,28.1,MainPumpP1
Temperature,28.0,MainPumpP1
Temperature,28.0,MainPumpP1
Temperature,27.9,MainPumpP1
Temperature,27.8,MainPumpP1
Temperature,27.8,MainPumpP1
Temperature,27.8,MainPumpP1
Temperature,27.8,MainPumpP1
Temperature,27.8,MainPumpP1
Temperature,27.7,MainPumpP1
Temperature,27.7,MainPumpP1
Temperature,27.7,MainPumpP1
Temperature,27.7,MainPumpP1
Temperature,27.7,MainPumpP1
Temperature,27.7,MainPumpP1
Temperature,27.6,MainPumpP1
Temperature,27.5,MainPumpP1
Temperature,27.5,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.3,MainPumpP1
Temperature,27.3,MainPumpP1
Temperature,27.3,MainPumpP1
Temperature,27.3,MainPumpP1
Temperature,27.3,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.5,MainPumpP1
Temperature,27.5,MainPumpP1
Temperature,27.5,MainPumpP1
Temperature,27.5,MainPumpP1
Temperature,27.6,MainPumpP1
Temperature,27.6,MainPumpP1
Temperature,27.5,MainPumpP1
Temperature,27.6,MainPumpP1
Temperature,27.6,MainPumpP1
Temperature,27.6,MainPumpP1
Temperature,27.5,MainPumpP1
Temperature,27.5,MainPumpP1
Temperature,27.5,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.3,MainPumpP1
Temperature,27.2,MainPumpP1
Temperature,27.1,MainPumpP1
Temperature,27.0,MainPumpP1
Temperature,27.0,MainPumpP1
Temperature,27.0,MainPumpP1
Temperature,26.9,MainPumpP1
Temperature,26.9,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.6,MainPumpP1
Temperature,26.6,MainPumpP1
Temperature,26.6,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.4,MainPumpP1
Temperature,26.2,MainPumpP1
Temperature,26.0,MainPumpP1
Temperature,25.8,MainPumpP1
Temperature,25.7,MainPumpP1
Temperature,25.7,MainPumpP1
Temperature,25.7,MainPumpP1
Temperature,25.7,MainPumpP1
Temperature,25.7,MainPumpP1
Temperature,25.7,MainPumpP1
Temperature,25.7,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
Temperature,25.6,MainPumpP1
