Parametro,Timestamp,Value,NmeComp
Temperature,2024-04-11 12:19:51,27.7,MainPumpP1
Temperature,2024-04-11 12:22:51,27.6,MainPumpP1
Temperature,2024-04-11 12:25:51,27.6,MainPumpP1
Temperature,2024-04-11 12:28:51,27.4,MainPumpP1
Temperature,2024-04-11 12:31:51,27.4,MainPumpP1
Temperature,2024-04-11 12:34:51,27.4,MainPumpP1
Temperature,2024-04-11 12:37:51,27.3,MainPumpP1
Temperature,2024-04-11 12:40:51,27.3,MainPumpP1
Temperature,2024-04-11 12:43:51,27.3,MainPumpP1
Temperature,2024-04-11 12:46:51,27.3,MainPumpP1
Temperature,2024-04-11 12:49:51,27.3,MainPumpP1
Temperature,2024-04-11 12:52:51,27.2,MainPumpP1
Temperature,2024-04-11 12:55:51,27.2,MainPumpP1
Temperature,2024-04-11 12:58:51,27.2,MainPumpP1
Temperature,2024-04-11 13:01:51,27.2,MainPumpP1
Temperature,2024-04-11 13:04:51,27.1,MainPumpP1
Temperature,2024-04-11 13:07:51,27.1,MainPumpP1
Temperature,2024-04-11 13:10:51,27.1,MainPumpP1
Temperature,2024-04-11 13:13:51,27.1,MainPumpP1
Temperature,2024-04-11 13:16:51,27.1,MainPumpP1
Temperature,2024-04-11 13:19:51,27.1,MainPumpP1
Temperature,2024-04-11 13:22:51,27.1,MainPumpP1
Temperature,2024-04-11 13:25:51,27.1,MainPumpP1
Temperature,2024-04-11 13:28:51,27.1,MainPumpP1
Temperature,2024-04-11 13:31:51,27.1,MainPumpP1
Temperature,2024-04-11 13:34:51,27.0,MainPumpP1
Temperature,2024-04-11 13:37:51,27.0,MainPumpP1
Temperature,2024-04-11 13:40:51,26.9,MainPumpP1
Temperature,2024-04-11 13:43:51,26.9,MainPumpP1
Temperature,2024-04-11 13:46:51,26.9,MainPumpP1
Temperature,2024-04-11 13:49:51,26.9,MainPumpP1
Temperature,2024-04-11 13:52:51,26.9,MainPumpP1
Temperature,2024-04-11 13:55:51,26.9,MainPumpP1
Temperature,2024-04-11 13:56:16,26.9,MainPumpP1
Temperature,2024-04-11 13:59:16,26.9,MainPumpP1
Temperature,2024-04-11 14:02:16,26.9,MainPumpP1
Temperature,2024-04-11 14:05:16,26.9,MainPumpP1
Temperature,2024-04-11 14:08:16,26.9,MainPumpP1
Temperature,2024-04-11 14:11:16,26.9,MainPumpP1
Temperature,2024-04-11 14:14:16,26.9,MainPumpP1
Temperature,2024-04-11 14:17:16,26.9,MainPumpP1
Temperature,2024-04-11 14:20:16,26.9,MainPumpP1
Temperature,2024-04-11 14:23:16,27.0,MainPumpP1
Temperature,2024-04-11 14:26:16,27.0,MainPumpP1
Temperature,2024-04-11 14:29:16,27.0,MainPumpP1
Temperature,2024-04-11 14:32:16,27.0,MainPumpP1
Temperature,2024-04-11 14:35:16,27.1,MainPumpP1
Temperature,2024-04-11 14:38:16,27.1,MainPumpP1
Temperature,2024-04-11 14:41:16,27.1,MainPumpP1
Temperature,2024-04-11 14:44:16,27.1,MainPumpP1
Temperature,2024-04-11 14:47:16,27.1,MainPumpP1
Temperature,2024-04-11 14:50:16,27.1,MainPumpP1
Temperature,2024-04-11 14:53:16,27.1,MainPumpP1
Temperature,2024-04-11 14:56:16,27.1,MainPumpP1
Temperature,2024-04-11 14:59:16,27.1,MainPumpP1
Temperature,2024-04-11 15:02:16,27.1,MainPumpP1
Temperature,2024-04-11 15:05:16,27.1,MainPumpP1
Temperature,2024-04-11 15:08:16,27.1,MainPumpP1
Temperature,2024-04-11 15:11:16,27.0,MainPumpP1
Temperature,2024-04-11 15:14:16,26.9,MainPumpP1
Temperature,2024-04-11 15:17:16,26.8,MainPumpP1
Temperature,2024-04-11 15:20:16,26.8,MainPumpP1
Temperature,2024-04-11 15:23:16,26.7,MainPumpP1
Temperature,2024-04-11 15:26:16,26.7,MainPumpP1
Temperature,2024-04-11 15:29:16,26.6,MainPumpP1
Temperature,2024-04-11 15:32:16,26.5,MainPumpP1
Temperature,2024-04-11 15:35:16,26.5,MainPumpP1
Temperature,2024-04-11 15:38:16,26.4,MainPumpP1
Temperature,2024-04-11 15:41:16,26.4,MainPumpP1
Temperature,2024-04-11 15:44:16,26.4,MainPumpP1
Temperature,2024-04-11 15:47:16,26.4,MainPumpP1
Temperature,2024-04-11 15:50:16,26.4,MainPumpP1
Temperature,2024-04-11 15:53:16,26.3,MainPumpP1
Temperature,2024-04-11 15:56:16,26.3,MainPumpP1
Temperature,2024-04-11 15:59:16,26.3,MainPumpP1
Temperature,2024-04-11 16:02:16,26.3,MainPumpP1
Temperature,2024-04-11 16:05:16,26.3,MainPumpP1
Temperature,2024-04-11 16:08:16,26.3,MainPumpP1
Temperature,2024-04-11 16:11:16,26.4,MainPumpP1
Temperature,2024-04-11 16:14:16,26.4,MainPumpP1
Temperature,2024-04-11 16:17:16,26.4,MainPumpP1
Temperature,2024-04-11 16:20:16,26.4,MainPumpP1
Temperature,2024-04-11 16:23:16,26.4,MainPumpP1
Temperature,2024-04-11 16:26:16,26.4,MainPumpP1
Temperature,2024-04-11 16:29:16,26.4,MainPumpP1
Temperature,2024-04-11 16:32:16,26.4,MainPumpP1
Temperature,2024-04-11 16:35:16,26.4,MainPumpP1
Temperature,2024-04-11 16:38:16,26.4,MainPumpP1
Temperature,2024-04-11 16:41:16,26.2,MainPumpP1
Temperature,2024-04-11 16:44:16,26.0,MainPumpP1
Temperature,2024-04-11 16:47:16,25.9,MainPumpP1
Temperature,2024-04-11 16:50:16,25.8,MainPumpP1
Temperature,2024-04-11 16:53:16,25.7,MainPumpP1
Temperature,2024-04-11 16:56:16,25.6,MainPumpP1
Temperature,2024-04-11 16:59:16,25.5,MainPumpP1
Temperature,2024-04-11 17:02:16,25.5,MainPumpP1
Temperature,2024-04-11 17:05:16,25.5,MainPumpP1
Temperature,2024-04-11 17:08:16,25.4,MainPumpP1
Temperature,2024-04-11 17:11:16,25.3,MainPumpP1
Temperature,2024-04-11 17:14:16,25.3,MainPumpP1
Temperature,2024-04-11 17:17:16,25.3,MainPumpP1
Temperature,2024-04-11 17:20:16,25.3,MainPumpP1
Temperature,2024-04-11 17:23:16,25.2,MainPumpP1
Temperature,2024-04-11 17:26:16,25.2,MainPumpP1
Temperature,2024-04-11 17:29:16,25.2,MainPumpP1
Temperature,2024-04-11 17:32:16,25.2,MainPumpP1
Temperature,2024-04-11 17:35:16,25.2,MainPumpP1
Temperature,2024-04-11 17:38:16,25.2,MainPumpP1
Temperature,2024-04-11 17:41:16,25.2,MainPumpP1
Temperature,2024-04-11 17:44:16,25.3,MainPumpP1
Temperature,2024-04-11 17:47:16,25.3,MainPumpP1
Temperature,2024-04-11 17:50:16,25.2,MainPumpP1
Temperature,2024-04-11 17:53:16,25.3,MainPumpP1
